word	speech_count	narrative_count
i	796979	1921
you	670118	2244
the	526365	95443
to	510717	162912
it	457318	27063
a	375767	77589
and	371513	146440
that	294030	55665
yeah	286673	13
like	260447	8095
just	247446	4228
it's	246873	1577
uh	237871	1
know	232446	5449
really	222938	3943
of	213210	34689
oh	208741	5
we	201161	169
um	180125	0
but	171531	11301
so	168045	14025
was	167329	55200
about	162191	20558
for	158408	34649
right	153743	1747
laughter	133944	45
with	124595	36717
in	114553	36627
on	112363	22124
is	111219	57420
be	110011	21388
can	107533	6368
have	107069	8884
okay	107041	742
your	105301	339
this	104587	5248
me	101183	436
think	100532	1293
how	96879	9248
i'm	93699	581
do	91048	6597
what	87132	10106
well	84692	2080
been	84301	10345
my	80260	247
that's	79941	118
more	78802	8419
s	75481	1079
could	75297	6249
maybe	74494	388
great	73063	4339
time	71186	11670
all	68150	4481
sure	66758	5183
if	66490	6359
mean	66413	662
exactly	63685	150
hmm	62398	3
not	60711	6359
some	60571	4429
up	60563	12638
out	60056	14715
something	59720	4214
are	58700	6013
i've	58466	105
get	57838	7879
or	57352	2609
thanks	55385	842
they	55033	28812
when	54218	20498
good	53672	7435
our	53545	45
hey	52907	246
see	52817	6430
did	51784	2285
need	51642	1153
way	50236	6506
make	49897	8651
at	49379	13260
sounds	48346	140
definitely	48074	64
should	47646	1389
you're	46579	367
new	46466	5931
mhm	46421	0
feel	45985	7249
there	45809	5053
yes	45212	970
thinking	45048	1372
things	44864	4267
help	44477	13938
too	43984	2423
absolutely	43439	16
nice	42403	1538
always	42208	15305
huh	42033	1
bit	41025	503
everything	40837	2284
those	38180	248
got	37384	3228
much	37340	3152
no	37320	2130
might	36862	1002
now	35121	10644
thought	34343	4191
kind	33534	1673
by	33453	12559
actually	33079	314
work	32664	4683
would	32035	9772
were	31799	6020
lot	31377	3005
i'll	30443	55
one	30238	3976
from	30213	8886
sometimes	30007	327
don't	29805	391
also	29400	3923
as	29384	10995
us	29120	39
want	29113	4011
because	29105	24816
going	28894	3787
here	27613	278
important	27593	1084
makes	26831	4002
them	26752	6543
next	26691	1740
any	25563	1669
there's	25468	104
then	25437	3708
guess	25409	24
even	25399	2799
keep	25354	1488
together	25000	8288
perfect	24653	905
try	24652	1240
quite	24356	192
totally	24326	5
interesting	24313	494
such	24191	663
speaking	24124	346
into	23909	4684
wanted	23152	13039
these	22977	197
let's	22975	30
had	22691	20206
day	22556	4549
glad	22461	934
wow	22427	9
let	22396	1400
amazing	22347	206
hear	22253	775
an	21942	4993
t	21801	111
go	21800	5501
anything	21778	2542
love	21663	2502
project	21283	1503
appreciate	21227	370
last	20839	909
better	20550	5939
say	20208	1906
remember	20171	316
fun	20131	2091
being	19858	4063
which	19841	795
find	19738	2390
where	19497	1531
understand	19391	1242
little	19212	1045
can't	18985	2609
plan	18873	686
talk	18857	4502
back	18791	4375
first	18622	1852
everyone	18488	850
trying	18110	2164
people	18085	2681
didn't	18001	4706
take	17857	3115
start	17833	1459
will	17760	5679
other	16989	4945
over	16875	5722
we're	16767	28
around	16626	4909
thank	16520	330
having	16389	2070
focus	16323	219
pretty	16146	515
someone	16114	2294
has	16012	12419
especially	15921	441
each	15774	4285
again	15693	2209
look	15631	1607
today	15584	476
their	15318	9089
honestly	15120	18
feels	15053	14850
through	14973	3405
heard	14830	770
team	14648	929
believe	14636	736
both	14594	4059
cool	14590	391
wait	14580	837
different	14568	1273
why	14430	1302
m	14426	54
every	14409	2127
after	14332	5910
without	14168	1621
idea	14155	821
ll	13921	4
else	13841	985
ve	13790	15
made	13673	5228
best	13649	3096
what's	13567	224
sense	13536	1067
alright	13362	250
still	13216	870
before	13183	3720
enjoy	13057	1011
re	12994	33
thing	12959	558
part	12763	758
place	12687	1223
felt	12650	12554
looking	12639	2863
mind	12400	627
same	12326	1744
she	12311	98127
week	12150	674
doing	12123	2755
while	12042	3753
you've	12021	25
feeling	11955	3131
stuff	11890	99
true	11852	292
long	11795	1485
getting	11754	2851
forward	11679	1087
hard	11518	2096
making	11458	2665
down	11396	4337
weekend	11307	308
big	11250	1116
who	11158	5325
awesome	11083	5
sorry	11076	741
problem	11025	603
noticed	10831	635
happy	10758	11601
come	10739	1631
check	10724	346
than	10640	1882
he	10606	87211
lately	10431	706
few	10412	2003
off	10330	2616
though	10308	759
they're	10263	548
crucial	10241	3
once	9977	440
planning	9951	533
seems	9847	894
kinda	9817	1
her	9809	79479
helps	9679	2358
does	9630	2432
soon	9617	1572
tell	9596	2350
since	9562	2019
working	9558	1409
life	9488	3340
course	9427	119
talking	9318	3765
give	9074	1858
hope	9053	245
friends	8996	6972
meeting	8915	636
plus	8850	233
often	8815	2406
i'd	8798	7
support	8743	981
anyway	8663	121
yet	8639	129
wasn't	8469	1120
means	8427	272
point	8395	368
key	8374	206
small	8354	1151
change	8328	570
difference	8228	274
mm	8225	5
never	8205	4128
whole	8191	381
we've	8184	15
saying	8128	690
special	8056	718
you'll	8037	14
ever	8011	1448
coffee	7987	1091
moment	7957	864
set	7934	681
seem	7932	480
super	7932	16
own	7830	2534
must	7778	292
manage	7759	45
fascinating	7728	24
myself	7717	13
experience	7698	553
started	7632	2166
it'll	7608	26
ensure	7589	102
catch	7577	681
many	7571	891
busy	7539	337
stay	7502	1336
needed	7497	2380
seemed	7447	783
bring	7402	302
clear	7375	497
enough	7373	1038
balance	7354	45
step	7344	469
agree	7298	374
went	7253	4993
happened	7178	1138
done	7173	1302
found	7171	4510
handle	7143	210
use	7138	826
isn't	7130	250
fine	7110	187
tried	7080	1238
saw	7006	6513
tough	6838	716
you'd	6787	6
mentioned	6778	122
understanding	6766	677
exciting	6759	62
trust	6752	845
most	6734	607
coming	6699	517
taking	6697	1136
ah	6654	0
approach	6636	131
away	6492	2858
sort	6492	44
perhaps	6490	21
meet	6479	1702
we'll	6478	6
truly	6441	178
move	6440	1107
don	6421	27
wonderful	6407	128
night	6404	1455
home	6367	3728
already	6335	350
almost	6333	153
tasks	6294	98
simple	6270	135
probably	6260	123
another	6232	876
ideas	6225	438
read	6210	1192
later	6204	366
favorite	6190	1842
ready	6169	624
overwhelming	6156	50
share	6090	1442
care	6086	1531
excited	6030	3086
consider	6025	53
during	5989	503
moments	5973	177
projects	5944	89
considering	5933	86
book	5923	1796
put	5908	1865
end	5900	1076
trip	5823	617
open	5785	649
times	5739	713
ask	5738	1223
music	5727	927
d	5725	25
family	5715	2022
specific	5669	350
art	5653	440
plans	5621	927
usually	5610	258
incredible	5545	20
said	5531	5866
yourself	5526	34
changes	5490	207
process	5482	212
chance	5478	740
details	5463	268
show	5458	1769
completely	5409	128
finally	5396	3466
space	5392	273
room	5365	3164
days	5353	472
worried	5328	1520
happen	5326	386
seriously	5265	79
nothing	5257	446
moving	5256	424
used	5237	704
easy	5237	240
worry	5234	355
park	5221	1545
couldn't	5210	1440
movie	5193	837
supposed	5179	293
others	5171	1304
personal	5167	277
only	5166	1220
data	5161	66
him	5139	37228
fresh	5105	282
imagine	5093	214
reading	5087	817
wondering	5080	227
break	5037	491
earlier	5037	221
food	5020	1365
doesn't	5003	3767
keeping	4930	225
future	4885	741
finding	4878	342
easier	4877	166
seeing	4861	806
fantastic	4842	22
unique	4826	107
discuss	4810	410
issues	4790	74
didn	4762	17
energy	4711	146
add	4689	63
curious	4683	938
schedule	4680	108
sound	4677	270
game	4671	1002
explore	4668	229
dinner	4652	1308
am	4624	59
feedback	4621	87
challenging	4585	37
looks	4561	2389
communication	4559	55
helpful	4526	1206
between	4518	736
unexpected	4516	11
world	4489	906
hi	4474	176
starting	4457	384
month	4457	118
grab	4453	115
haven't	4396	53
welcome	4393	157
figure	4382	270
works	4376	479
relax	4351	487
track	4342	187
job	4335	2412
car	4313	3138
learn	4286	1289
head	4278	1034
took	4270	2424
improve	4256	602
timeline	4249	4
talked	4240	1721
notice	4232	280
focusing	4226	17
caught	4206	670
strategy	4196	24
play	4167	1916
hiking	4148	166
very	4131	7773
attention	4126	983
sometime	4113	107
yesterday	4112	135
realize	4100	160
impact	4096	50
its	4090	382
comfortable	4083	1581
resources	4073	63
mostly	4058	18
school	4057	3179
how's	4048	5
friend	4030	8152
beautiful	4007	1042
knowing	3982	819
deadlines	3977	10
story	3974	1027
spot	3970	265
hang	3962	402
his	3960	31182
hold	3952	312
huge	3950	156
real	3931	136
quickly	3924	1795
seen	3921	1273
stories	3909	476
water	3905	1067
suppose	3901	0
needs	3889	2262
effort	3886	303
practice	3843	235
walk	3830	1116
explain	3821	341
potential	3817	344
sweet	3805	126
situation	3804	1154
perspective	3799	170
perfectly	3745	182
wouldn't	3744	312
worth	3744	172
bad	3738	1337
won't	3735	590
helping	3723	1117
extra	3723	411
tricky	3712	2
morning	3710	496
spending	3702	2357
goals	3684	225
deal	3675	360
